Party,Candidate,Last_Name,First_Name,State_Abbrv,Candidate_Votes,State,Total_Votes,Committee,Contributions,Election_Year,Assumed_Office
Republican,Pat Roberts,Roberts,Pat,KS,460350,Kansas,866191,"Agriculture, Nutrition and Forestry",8040544,2014,1997
Republican,James M. Inhofe,Inhofe,James,OK,558166,Oklahoma,820733,Armed Services,4841285,2014,1994
Republican,Michael B. Enzi,Enzi,Michael,WY,121554,Wyoming,171153,Budget,3772045,2014,1997
Republican,James E. Risch,Risch,James,ID,285596,Idaho,437170,Foreign Relations,2902855,2014,2009
Republican,Lamar Alexander,Alexander,Lamar,TN,850087,Tennessee,1374065,"Health, Education, Labor and Pensions",8201067,2014,2003
Republican,Lindsey Graham,Graham,Lindsey,SC,672941,South Carolina,1240075,Judiciary,11056889,2014,2003
Republican,Richard C. Shelby,Shelby,Richard,AL,1335104,Alabama,2087444,Appropriations,4890271,2016,1987
Republican,Mike Crapo,Crapo,Mike,ID,449017,Idaho,678943,"Banking, Housing and Urban Affairs",5875081,2016,1999
Republican,Lisa Murkowski,Murkowski,Lisa,AK,138149,Alaska,311441,Energy and Natural Resources,6058418,2016,2002
Republican,Chuck Grassley,Grassley,Chuck,IA,926007,Iowa,1541036,Finance,9828566,2016,1981
Republican,Roy Blunt,Blunt,Roy,MO,1378458,Missouri,2802641,Rules and Administration,15893492,2016,2011
Republican,Marco Rubio,Rubio,Marco,FL,4835191,Florida,9301820,Small Business and Entrepreneurship,25254738,2016,2011
Republican,Jerry Moran,Moran,Jerry,KS,732376,Kansas,1177922,Veterans' Affairs,6617848,2016,2007
Republican,Roger F. Wicker,Wicker,Roger,MS,547619,Mississippi,1843803,"Commerce, Science and Transportation",6568817,2018,2007
Republican,John Barrasso,Barrasso,John,WY,136210,Wyoming,203420,Environment and Public Works,7380997,2018,2019
Republican,Ron Johnson,Johnson,Ron,WI,1125999,Wisconsin,2171331,Homeland Security and Governmental Affairs,18631193,2014,2011
Democrat,Jack Reed,Reed,Jack,RI,223675,Rhode Island,316898,Armed Services,3960335,2014,1997
Democrat,Gary C. Peters,Peters,Gary,MI,1704936,Michigan,3121771,Homeland Security and Governmental Affairs,42543692,2019,2019
Democrat,Patrick J. Leahy,Leahy,Patrick,VT,192243,Vermont,320467,Appropriations,4770988,2016,1975
Democrat,Ron Wyden,Wyden,Ron,OR,1105119,Oregon,1952478,Finance,12628463,2016,1996
Democrat,Patty Murray,Murray,Patty,WA,1913979,Washington,3243317,"Health, Education, Labor and Pensions",13524088,2016,1993
Democrat,Debbie Stabenow,Stabenow,Debbie,MI,2214478,Michigan,4237271,"Agriculture, Nutrition and Forestry",17570218,2018,2001
Democrat,Sherrod Brown,Brown,Sherrod,OH,2355923,Ohio,4410898,"Banking, Housing and Urban Affairs",28659987,2018,2007
independent,Bernie Sanders,Sanders,Bernie,VT,183529,Vermont,272624,Budget,11795106,2018,2007
Democrat,Maria Cantwell,Cantwell,Maria,WA,1803364,Washington,3086168,"Commerce, Science and Transportation",11667705,2018,2001
Democrat,Joe Manchin,Manchin,Joe,WV,288808,West Virginia,582911,Energy and Natural Resources,9375411,2018,2019
Democrat,Thomas R Carper,Carper,Thomas,DE,217385,Delaware,362592,Environment and Public Works,4262961,2018,2001
Democrat,Robert Menendez,Menendez,Robert,NJ,1711654,New Jersey,3169310,Foreign Relations,12271086,2018,2006
Democrat,Dianne Feinstein,Feinstein,Dianne,CA,6019422,California,11113364,Judiciary,16092233,2018,1992
democratic-farmer-labor,Amy Klobuchar,Klobuchar,Amy,MN,1566174,Minnesota,5184235,Rules and Administration,10681536,2018,2007
Democrat,Ben Cardin,Cardin,Ben,MD,1491614,Maryland,2299889,Small Business and Entrepreneurship,5071964,2018,2007
Democrat,Jon Tester,Tester,Jon,MT,253876,Montana,504384,Veterans' Affairs,20944242,2018,2007
